longitude, latitude, index
12.49491,41.89718,0
12.49484,41.89716,0
12.49376,41.89697,0
12.49351,41.89694,0
12.49277,41.89679,0
12.49235,41.89712,0
12.4923,41.89717,0
12.48978,41.89932,0
12.48965,41.89942,0
12.48849,41.90044,0
12.48799,41.90084,0
12.48784,41.90098,0
12.48669,41.90194,0
12.48657,41.90203,0
12.48649,41.90206,0
12.48618,41.90236,0
12.4861,41.90242,0
12.48585,41.90264,0
12.48564,41.90285,0
12.48593,41.90293,0
12.48595,41.90293,0
12.48817,41.90353,0
12.48826,41.90346,0
12.48827,41.90346,0
12.48828,41.90345,0
12.48834,41.90345,0
12.48847,41.90349,0
12.48896,41.90373,0
12.48898,41.90376,0
12.48899,41.90377,0
12.48899,41.90378,0
12.489,41.9038,0
12.489,41.90381,0
12.48899,41.90383,0
12.48899,41.90385,0
12.48898,41.90387,0
12.48896,41.90389,0
12.48895,41.90392,0
12.48893,41.90394,0
12.4889,41.90398,0
12.48887,41.90399,0
12.48879,41.90403,0
12.48865,41.90403,0
12.48857,41.90396,0
12.48851,41.90392,0
12.48833,41.90377,0
12.48821,41.90389,0
12.48774,41.9043,0
12.48799,41.90452,0
12.48805,41.90456,0
12.48811,41.90462,0
12.48814,41.90463,0
12.48817,41.90465,0
12.48823,41.90468,0
12.48804,41.90492,0
12.488,41.90501,0
12.48799,41.90506,0
12.48797,41.90512,0
12.48797,41.90519,0
12.48796,41.90524,0
12.48797,41.90527,0
12.48797,41.9053,0
12.48798,41.90535,0
12.48803,41.90547,0
12.48809,41.90554,0
12.48809,41.90555,0
12.4882,41.90564,0
12.4884,41.90573,0
12.48994,41.90625,0
12.49009,41.90633,0
12.49032,41.90657,0
12.49033,41.90659,0
12.49034,41.9066,0
12.49034,41.90666,0
12.49032,41.90671,0
12.49031,41.90678,0
12.49031,41.90681,0
12.49026,41.9069,0
12.49025,41.90693,0
12.49016,41.90701,0
12.48858,41.90911,0
12.48854,41.90922,0
12.48854,41.90925,0
12.48855,41.90928,0
12.48855,41.9093,0
12.4886,41.90942,0
12.48861,41.90946,0
12.48861,41.90947,0
12.48862,41.90949,0
12.48862,41.90952,0
12.4886,41.90959,0
12.48865,41.90958,0
12.48924,41.9096,0
12.48934,41.90961,0
12.4894,41.90964,0
12.48941,41.90965,0
12.48941,41.90968,0
12.48942,41.90972,0
12.48941,41.90976,0
12.48939,41.9099,0
12.48919,41.90995,0
12.48907,41.90996,0
12.488,41.90979,0
12.48778,41.90971,0
12.48772,41.9097,0
12.48765,41.90968,0
12.48764,41.90967,0
12.48761,41.90966,0
12.48724,41.90948,0
12.48712,41.90941,0
12.48707,41.90939,0
12.48697,41.90932,0
12.48693,41.90928,0
12.48688,41.90924,0
12.48673,41.90916,0
12.48669,41.90912,0
12.48666,41.9091,0
12.48659,41.90904,0
12.48655,41.90902,0
12.48652,41.90901,0
12.48643,41.90896,0
12.48618,41.90885,0
12.48613,41.90884,0
12.48606,41.90881,0
12.48599,41.90879,0
12.48593,41.90878,0
12.48587,41.90876,0
12.48528,41.90872,0
12.48519,41.90873,0
12.48515,41.90874,0
12.48504,41.90875,0
12.48479,41.90882,0
12.48471,41.90885,0
12.48428,41.90908,0
12.48343,41.90959,0
12.48324,41.90969,0
12.48324,41.9097,0
12.48297,41.90982,0
12.48266,41.90993,0
12.48258,41.90995,0
12.48242,41.91002,0
12.48239,41.91004,0
12.48227,41.9101,0
12.48216,41.91017,0
12.48196,41.91033,0
12.48192,41.91038,0
12.48187,41.91042,0
12.48182,41.91049,0
12.48178,41.91053,0
12.48173,41.91061,0
12.48161,41.91087,0
12.48158,41.91092,0
12.48151,41.91108,0
12.48143,41.91133,0
12.48143,41.91136,0
12.48141,41.91139,0
12.48138,41.9115,0
12.48138,41.91151,0
12.48126,41.91196,0
12.48126,41.91198,0
12.48121,41.91221,0
12.48121,41.91234,0
12.48122,41.91237,0
12.48123,41.91244,0
12.48125,41.9125,0
12.48127,41.91259,0
12.48127,41.91264,0
12.48129,41.91276,0
12.48129,41.91281,0
12.48127,41.91286,0
12.48127,41.91289,0
12.48125,41.91291,0
12.48122,41.91296,0
12.4812,41.91298,0
12.48117,41.913,0
12.48115,41.91302,0
12.48107,41.91307,0
12.48101,41.91309,0
12.48095,41.9131,0
12.48079,41.9131,0
12.48074,41.91309,0
12.48059,41.91304,0
12.48057,41.91304,0
12.48047,41.913,0
12.4804,41.91298,0
12.48027,41.91293,0
12.48001,41.91285,0
12.47944,41.91271,0
12.47931,41.91267,0
12.47924,41.91266,0
12.47896,41.91258,0
12.47878,41.91254,0
12.47862,41.91249,0
12.47852,41.91247,0
12.47851,41.91247,0
12.47837,41.91243,0
12.47836,41.91242,0
12.47794,41.91229,0
12.47741,41.9121,0
12.47738,41.91208,0
12.47735,41.91207,0
12.47732,41.91204,0
12.47718,41.91196,0
12.47716,41.91194,0
12.47713,41.91192,0
12.4771,41.91191,0
12.47707,41.91189,0
12.47704,41.91188,0
12.47701,41.91186,0
12.47693,41.91184,0
12.4769,41.91184,0
12.47686,41.91183,0
12.47664,41.9118,0
12.47646,41.91179,0
12.4764,41.91178,0
12.47633,41.91178,0
12.47591,41.91173,0
12.47549,41.91166,0
12.47536,41.91163,0
12.47528,41.9116,0
12.47517,41.91158,0
12.47505,41.91153,0
12.47485,41.91147,0
12.4738,41.91121,0
12.47371,41.91118,0
